Source, Target
2,1
4,1
4,2
7,0
8,0
8,1
8,2
8,4
8,6
8,7
9,1
9,4
9,8
10,1
10,4
10,6
10,7
10,8
10,9
12,0
12,8
12,10
13,1
13,2
13,4
13,8
13,9
14,1
14,2
14,4
14,6
14,8
14,9
14,10
14,13
15,7
15,8
15,10
15,12
16,5
16,7
16,10
16,11
16,15
17,8
17,9
17,14
18,1
18,2
18,4
18,14
19,0
19,3
19,7
19,8
19,10
19,15
20,1
20,4
20,8
20,9
20,14
21,0
21,7
21,8
21,9
21,10
21,12
21,13
21,14
21,15
21,19
21,20
22,0
22,1
22,2
22,4
22,6
22,7
22,8
22,9
22,10
22,14
22,15
22,19
23,0
23,2
23,7
23,8
23,9
23,10
23,12
23,14
23,15
23,17
23,19
23,20
23,21
23,22
