YBR198C	YGR274C	YDR176W	YPL129W	YGL066W	YML015C	YDR167W	YHR099W	YML098W	YLR055C	YPL011C	YDR448W	YGR252W	YDR145W	YCL010C	YBR081C	YMR227C	YPL254W	YCR042C	YMR236W	0	YDR392W	YOL148C	YGL112C	
0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	
1	0	1	1	1	1	1	0	1	1	1	1	0	1	0	1	1	0	1	1	0	1	1	1	
1	1	0	0	1	0	1	1	0	1	1	1	1	1	1	1	1	1	0	1	0	1	1	1	
1	1	0	0	0	1	1	0	1	0	1	0	0	1	0	1	1	0	1	1	0	0	0	1	
1	1	1	0	0	1	1	1	0	1	1	1	1	1	1	1	0	1	0	1	0	1	1	1	
1	1	0	1	1	0	1	0	1	0	1	1	0	1	0	1	1	0	1	1	0	0	0	1	
1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	
1	0	1	0	1	0	1	0	0	1	0	1	1	1	1	1	1	1	0	1	0	1	1	1	
1	1	0	1	0	1	1	0	0	0	1	0	0	1	0	0	1	0	1	1	0	0	0	1	
1	1	1	0	1	0	1	1	0	0	0	1	1	1	1	1	1	1	0	1	0	1	1	1	
1	1	1	1	1	1	1	0	1	0	0	1	0	1	0	1	1	1	1	1	0	0	0	1	
1	1	1	0	1	1	1	1	0	1	1	0	1	1	1	1	0	1	0	1	0	1	1	1	
1	0	1	0	1	0	1	1	0	1	0	1	0	1	1	1	1	1	0	1	0	1	1	1	
1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	0	1	1	1	
1	0	1	0	1	0	1	1	0	1	0	1	1	1	0	1	0	1	0	1	0	1	1	1	
1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	0	1	1	0	1	0	1	1	1	
1	1	1	1	0	1	1	1	1	1	1	0	1	1	0	1	0	1	1	1	0	0	0	1	
1	0	1	0	1	0	1	1	0	1	1	1	1	1	1	1	1	0	0	1	0	1	1	1	
1	1	0	1	0	1	1	0	1	0	1	0	0	1	0	0	1	0	0	1	0	0	0	1	
1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	1	1	1	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1	1	1	0	1	0	1	1	0	1	0	1	1	1	1	1	0	1	0	1	0	0	1	1	
1	1	1	0	1	0	1	1	0	1	0	1	1	1	1	1	0	1	0	1	0	1	0	1	
1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	0	
