Source, Target
1,0
2,0
2,1
3,0
3,1
4,0
4,1
4,2
5,0
5,1
5,3
5,4
6,0
6,1
6,2
6,3
6,4
6,5
7,0
7,2
7,4
7,6
8,0
8,1
8,3
8,5
8,6
9,0
9,1
9,2
9,4
9,6
9,7
10,0
10,1
10,2
10,3
10,4
10,5
10,6
10,8
11,0
11,1
11,2
11,4
11,5
11,6
11,7
11,9
11,10
12,0
12,2
12,4
12,6
12,7
12,9
12,11
13,0
13,1
13,2
13,3
13,4
13,5
13,6
13,7
13,8
13,9
13,10
13,11
13,12
14,0
14,2
14,4
14,6
14,7
14,9
14,11
14,12
14,13
15,0
15,1
15,2
15,3
15,4
15,5
15,6
15,7
15,9
15,10
15,11
15,12
15,13
15,14
16,0
16,1
16,2
16,3
16,5
16,6
16,7
16,8
16,9
16,10
16,12
16,13
16,15
17,0
17,2
17,4
17,6
17,7
17,9
17,10
17,11
17,12
17,13
17,14
17,15
17,16
18,0
18,1
18,3
18,5
18,6
18,8
18,10
18,13
18,16
19,0
19,1
19,2
19,3
19,4
19,5
19,6
19,7
19,8
19,9
19,10
19,11
19,12
19,13
19,14
19,15
19,16
19,17
19,18
21,0
21,1
21,2
21,4
21,6
21,7
21,9
21,11
21,12
21,13
21,14
21,15
21,17
21,19
22,0
22,1
22,2
22,4
22,6
22,7
22,9
22,11
22,12
22,13
22,14
22,15
22,17
22,19
22,21
23,0
23,1
23,2
23,3
23,4
23,5
23,6
23,7
23,8
23,9
23,10
23,11
23,12
23,13
23,14
23,15
23,16
23,17
23,18
23,19
23,21
23,22
