YLR321C	YPR034W	YCR052W	YDR224C	YMR091C	YNL039W	YIL126W	YGL249W	YPL083C	YGR275W	YNR023W	YDR243C	YBL002W	YOR290C	YHL025W	YBR289W	YKL141W	YOR304W	YMR159C	YHR056C	YFR037C	YLR357W	YBL003C	YPL016W	YBL006C	YDR073W	YJL065C	YGL133W	YDR225W	YMR127C	YFL049W	YDR303C	YJR090C	YBR245C	YPL129W	YJL176C	YML127W	YEL020W-A	YLR033W	YKR008W	YGR056W	YLR105C	YOR057W	YBR009C	YNL030W	YIL072W	YCR020W-B	YMR033W	
0	1	1	0	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	1	1	1	0	0	1	0	0	0	1	0	0	1	0	1	0	0	1	0	1	1	1	0	0	0	0	0	1	1	
1	0	1	0	1	0	1	0	0	1	1	1	0	1	1	1	0	0	1	1	1	1	0	1	1	1	0	0	0	0	1	1	0	1	1	1	1	0	1	1	1	0	0	0	0	0	1	1	
1	1	0	1	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	1	1	1	0	0	1	0	0	0	1	0	1	1	0	1	0	0	1	0	1	1	1	1	0	1	1	0	1	1	
0	0	1	0	1	0	1	0	0	0	0	0	1	0	0	0	0	1	0	1	1	1	1	0	0	0	0	1	1	0	0	1	0	1	0	0	1	0	1	1	1	0	0	1	0	0	0	1	
1	1	1	1	0	0	1	0	0	1	0	0	0	0	0	0	0	1	0	1	1	1	0	0	1	0	0	0	1	0	0	1	0	1	0	0	1	0	1	1	1	0	0	1	1	0	1	1	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	
1	1	1	1	1	0	0	0	0	1	0	0	0	0	0	0	0	1	0	1	1	1	1	0	1	0	0	1	1	0	0	1	0	1	0	1	1	0	1	1	1	0	0	0	1	0	1	1	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	
1	1	1	0	1	0	1	0	0	0	1	0	0	1	1	1	0	0	0	1	1	1	0	1	1	0	0	0	0	0	0	1	0	0	1	1	1	0	1	1	1	0	0	0	0	0	1	1	
