YBL006C	YDR073W	YLR321C	YPR034W	YCR052W	YMR091C	YIL126W	YMR224C	YGR275W	YFL049W	YNR023W	YDR303C	YPL129W	YJL176C	YML127W	YOR290C	YLR033W	YHL025W	YKR008W	YBR289W	YGR056W	YHR056C	YCR020W-B	YMR033W	YFR037C	YLR357W	YPL016W	
0	0	0	0	0	0	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	
0	0	0	1	0	0	0	0	0	0	1	0	1	1	0	1	0	1	0	1	0	0	0	1	0	0	1	
0	0	0	1	1	1	1	0	1	0	0	1	0	0	1	0	1	0	1	0	1	1	1	1	1	1	0	
0	1	1	0	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
0	0	1	1	0	1	1	0	1	0	0	1	0	0	1	0	1	0	1	0	1	1	1	1	1	1	0	
0	0	1	1	1	0	1	0	1	0	0	1	0	0	1	0	1	0	1	0	1	1	1	1	1	1	0	
1	0	1	1	1	1	0	0	1	0	0	1	1	0	1	1	1	0	1	0	1	1	1	1	1	1	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0	1	0	
1	0	1	1	1	1	1	0	0	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	
0	0	0	1	0	0	0	0	1	0	1	0	0	1	0	1	0	1	0	1	0	0	0	1	0	0	1	
0	1	0	1	0	0	0	0	1	1	0	0	1	1	0	1	0	1	0	1	0	0	0	1	0	0	1	
0	0	1	1	1	1	1	0	1	0	0	0	0	0	1	0	1	0	1	0	1	1	1	1	1	1	0	
0	1	0	1	0	0	1	0	1	0	1	0	0	1	0	1	0	1	0	1	0	0	0	1	0	0	1	
0	1	0	1	0	0	0	1	1	1	1	0	1	0	0	1	0	1	0	1	0	0	0	1	0	0	1	
1	0	1	1	1	1	1	0	1	0	0	1	0	0	0	0	1	0	1	0	1	1	1	1	1	1	0	
0	1	0	1	0	0	1	0	1	1	1	0	1	1	0	0	0	1	0	1	0	0	0	1	1	0	1	
0	0	1	1	1	1	1	0	1	0	0	1	0	0	1	0	0	0	1	0	1	1	1	1	1	1	0	
0	1	0	1	0	0	0	0	1	1	1	0	1	1	0	1	0	0	0	1	0	0	0	1	0	0	1	
0	0	1	1	1	1	1	1	1	0	0	1	0	0	1	0	1	0	0	0	1	1	1	1	1	1	0	
0	1	0	1	0	0	0	0	1	1	1	0	1	1	0	1	0	1	0	0	0	0	0	1	0	0	1	
0	0	1	1	1	1	1	1	1	0	0	1	0	0	1	0	1	0	1	0	0	1	1	1	1	1	0	
0	0	1	1	1	1	1	0	0	0	0	1	0	0	1	0	1	0	1	0	1	0	1	1	1	1	0	
0	0	1	1	1	1	1	0	1	0	0	1	0	0	1	0	1	0	1	0	1	1	0	1	1	1	0	
1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	
0	0	1	1	1	1	1	0	1	0	0	1	0	0	1	1	1	0	1	0	1	1	1	1	0	1	0	
0	0	1	1	1	1	1	1	1	0	0	1	0	0	1	0	1	0	1	0	1	1	1	1	1	0	0	
0	1	0	1	0	0	0	0	1	1	1	0	1	1	0	1	0	1	0	1	0	0	0	1	0	0	0	
