YOR141C	YLR385C	YDR190C	YFL013C	YLR085C	YNL107W	YDR334W	YGR002C	YPL235W	YAL011W	YOR189W	YBR231C	YML041C	YJL081C	YLR052W	YPL129W	YGL252C	YNL059C	YGL150C	YDL002C	YDR485C	
0	0	1	1	0	0	0	0	1	0	1	0	0	1	1	0	0	1	1	1	0	
0	0	1	0	1	1	1	1	1	1	0	1	1	1	0	0	0	0	0	0	1	
1	1	0	1	0	0	1	1	1	1	1	1	1	1	1	0	0	1	0	1	1	
1	0	1	0	0	0	0	0	1	0	1	0	0	1	1	0	0	1	1	1	0	
0	1	0	0	0	0	1	0	0	1	0	0	1	0	0	0	1	0	0	0	0	
0	1	0	0	0	0	1	1	0	0	0	1	1	1	0	0	0	0	0	0	0	
0	1	1	0	1	1	0	1	1	1	0	1	1	1	0	0	0	0	0	0	1	
0	1	1	0	0	1	1	0	1	0	0	1	0	1	0	0	0	0	0	0	0	
1	1	1	1	0	0	1	1	0	1	1	1	1	1	1	1	0	1	1	1	1	
0	1	1	0	1	0	1	0	1	0	0	1	1	1	0	0	0	0	0	0	1	
1	0	1	1	0	0	0	0	1	0	0	0	0	1	1	1	0	0	1	0	0	
0	1	1	0	0	1	1	1	1	1	0	0	1	1	0	0	0	0	0	0	1	
0	1	1	0	1	1	1	0	1	1	0	1	0	1	0	0	1	0	0	0	1	
1	1	1	1	0	1	1	1	1	1	1	1	1	0	1	1	0	1	1	1	1	
1	0	1	1	0	0	0	0	1	0	1	0	0	1	0	0	0	0	1	1	0	
0	0	0	0	0	0	0	0	1	0	1	0	0	1	0	0	0	0	0	0	0	
0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	
1	0	1	1	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	
1	0	0	1	0	0	0	0	1	0	1	0	0	1	1	0	0	0	0	1	0	
1	0	1	1	0	0	0	0	1	0	0	0	0	1	1	0	0	0	1	0	0	
0	1	1	0	0	0	1	0	1	1	0	1	1	1	0	0	0	0	0	0	0	
